file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Work\Java\Bhavani\dubbo\dubbo-common\src\main\java\org\apache\dubbo\config\context\ConfigValidator.java,org.apache.dubbo.config.context.ConfigValidator,interface,1,2,1,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
C:\Work\Java\Bhavani\dubbo\dubbo-config\dubbo-config-api\src\main\java\org\apache\dubbo\config\bootstrap\builders\MetadataReportBuilder.java,org.apache.dubbo.config.bootstrap.builders.MetadataReportBuilder,class,3,6,3,3,15,2,0,15,79,0.86060613,0.123809524,0.74285716,15,1,14,0,1,0,15,0,0,0,11,0,0,11,0,0,0,0,2,83,15,0,0,0,0,0,0,13,0,12,0,0,0,0,67,1,0
C:\Work\Java\Bhavani\dubbo\dubbo-registry\dubbo-registry-api\src\test\java\org\apache\dubbo\registry\client\metadata\StandardMetadataServiceURLBuilderTest.java,org.apache.dubbo.registry.client.metadata.StandardMetadataServiceURLBuilderTest,class,9,9,0,9,3,1,0,22,3,0.0,0.0,0.0,3,2,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,20,8,7,0,5,0,0,0,0,26,0,0
C:\Work\Java\Bhavani\dubbo\dubbo-common\src\test\java\org\apache\dubbo\common\extension\director\FooFrameworkProvider.java,org.apache.dubbo.common.extension.director.FooFrameworkProvider,interface,3,8,5,3,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
C:\Work\Java\Bhavani\dubbo\dubbo-demo\dubbo-demo-xml\dubbo-demo-spring-mvc-rest-consumer\src\main\java\org\apache\dubbo\demo\rest\api\consumer\SpringRestDemoServiceConsumer.java,org.apache.dubbo.demo.rest.api.consumer.SpringRestDemoServiceConsumer,class,3,3,0,3,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,1,0
C:\Work\Java\Bhavani\dubbo\dubbo-metadata\dubbo-metadata-api\src\main\java\org\apache\dubbo\metadata\rest\JAXRSClassConstants.java,org.apache.dubbo.metadata.rest.JAXRSClassConstants,interface,1,1,0,1,0,1,0,2,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,9,0,0,0,0,0,0,0,7,0,7,0,0,0,0,28,1,0
C:\Work\Java\Bhavani\dubbo\dubbo-spring-boot\dubbo-spring-boot-compatible\actuator\src\test\java\org\apache\dubbo\spring\boot\actuate\health\DubboHealthIndicatorTest.java,org.apache.dubbo.spring.boot.actuate.health.DubboHealthIndicatorTest,class,12,13,1,12,2,1,0,6,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,16,0,0,0,0,0,20,1,2,0,3,0,0,0,0,18,1,0
C:\Work\Java\Bhavani\dubbo\dubbo-common\src\test\java\org\apache\dubbo\common\extension\ext6_wrap\impl\Ext6Impl2.java,org.apache.dubbo.common.extension.ext6_wrap.impl.Ext6Impl2,class,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,9,1,0
C:\Work\Java\Bhavani\dubbo\dubbo-common\src\test\java\org\apache\dubbo\common\extension\ext6_wrap\impl\Ext6Impl1.java,org.apache.dubbo.common.extension.ext6_wrap.impl.Ext6Impl1,class,2,3,1,2,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,9,1,0
C:\Work\Java\Bhavani\dubbo\dubbo-metrics\dubbo-metrics-api\src\main\java\org\apache\dubbo\metrics\observation\DubboObservationDocumentation.java,org.apache.dubbo.metrics.observation.DubboObservationDocumentation$Anonymous2,anonymous,4,4,0,4,2,1,0,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-1,0
