file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Work\Java\Bhavani\jadx\jadx-core\src\test\java\jadx\tests\integration\loops\TestLoopDetection4.java,jadx.tests.integration.loops.TestLoopDetection4$TestCls,innerclass,1,1,0,1,3,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,0,0,2,0,0,0,0,0,19,2,1,1,0,0,0,0,2,0,4,2,0,1,0,9,9,0
C:\Work\Java\Bhavani\jadx\jadx-gui\src\test\java\jadx\gui\utils\cache\code\disk\adapters\DataAdapterHelperTest.java,jadx.gui.utils.cache.code.disk.adapters.DataAdapterHelperTest,class,2,3,1,2,3,1,0,7,3,0.0,NaN,NaN,3,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,22,1,0,0,0,0,0,5,3,0,3,0,0,0,0,30,0,0
C:\Work\Java\Bhavani\jadx\jadx-gui\src\main\java\jadx\gui\ui\panel\JDebuggerPanel.java,jadx.gui.ui.panel.JDebuggerPanel$Anonymous10,anonymous,2,2,0,2,4,1,0,6,0,1.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,12,0,0,0,0,1,0,1,2,0,2,1,0,0,0,20,-1,0
C:\Work\Java\Bhavani\jadx\jadx-plugins\jadx-java-input\src\main\java\jadx\plugins\input\java\data\JavaMethodProto.java,jadx.plugins.input.java.data.JavaMethodProto,class,1,4,3,1,5,1,1,1,0,0.4,0.6,1.0,5,0,5,0,0,0,5,0,0,0,2,0,0,2,0,0,0,0,0,19,3,0,0,0,0,2,0,2,1,2,0,0,0,0,14,1,0
C:\Work\Java\Bhavani\jadx\jadx-gui\src\main\java\jadx\gui\update\data\Release.java,jadx.gui.update.data.Release,class,2,5,3,2,8,1,0,4,11,0.6666667,0.23809524,0.23809524,7,0,7,0,0,0,7,0,0,0,3,0,0,3,0,0,0,0,0,32,4,1,0,0,0,1,0,4,0,4,1,0,0,0,15,1,0
C:\Work\Java\Bhavani\jadx\jadx-core\src\main\java\jadx\core\codegen\RegionGen.java,jadx.core.codegen.RegionGen,class,47,57,10,47,60,2,0,112,78,0.9230769,0.0,0.0,13,0,8,5,0,0,8,0,0,0,1,1,0,1,0,0,1,0,9,296,8,6,15,0,3,40,5,33,3,32,4,0,0,0,108,1,1
C:\Work\Java\Bhavani\jadx\jadx-core\src\test\java\jadx\tests\integration\inner\TestAnonymousClass12.java,jadx.tests.integration.inner.TestAnonymousClass12$TestCls$BasicAbstract,innerclass,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1033,0
C:\Work\Java\Bhavani\jadx\jadx-gui\src\main\java\jadx\gui\plugins\quark\QuarkReportPanel.java,jadx.gui.plugins.quark.QuarkReportPanel$CrimeTreeNode,innerclass,8,8,0,8,12,4,0,11,0,0.5,0.0,0.0,3,0,2,1,0,0,2,0,0,0,2,1,0,2,0,0,2,0,0,48,1,4,0,0,0,7,3,11,3,13,3,0,0,1,34,2,0
C:\Work\Java\Bhavani\jadx\jadx-core\src\test\java\jadx\tests\integration\generics\TestGenerics3.java,jadx.tests.integration.generics.TestGenerics3$TestCls,innerclass,0,0,0,0,4,1,0,0,6,0.0,0.0,0.0,4,4,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0
C:\Work\Java\Bhavani\jadx\jadx-core\src\test\java\jadx\tests\integration\loops\TestBreakInComplexIf2.java,jadx.tests.integration.loops.TestBreakInComplexIf2$TestCls,innerclass,1,1,0,1,7,1,0,7,1,0.0,NaN,NaN,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,23,1,1,0,0,0,13,5,1,0,1,2,0,0,0,9,9,0
C:\Work\Java\Bhavani\jadx\jadx-gui\src\main\java\jadx\gui\ui\codearea\ClassCodeContentPanel.java,jadx.gui.ui.codearea.ClassCodeContentPanel,class,14,18,4,14,27,7,0,46,0,0.67777777,0.8363636,1.0,15,0,11,4,0,0,11,0,0,0,6,2,0,6,0,0,5,0,0,135,6,1,2,2,3,13,14,24,0,25,2,0,0,2,99,17,2
C:\Work\Java\Bhavani\jadx\jadx-core\src\main\java\jadx\core\dex\instructions\NewArrayNode.java,jadx.core.dex.instructions.NewArrayNode,class,3,6,3,3,10,4,0,5,0,0.0,1.0,1.0,6,0,6,0,0,0,6,0,0,0,1,0,0,1,0,0,1,0,0,29,7,0,2,0,1,1,0,2,1,2,1,0,0,0,22,1,0
C:\Work\Java\Bhavani\jadx\jadx-core\src\test\java\jadx\tests\integration\arrays\TestArrayFillWithMove.java,jadx.tests.integration.arrays.TestArrayFillWithMove,class,3,3,0,3,1,4,0,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,4,0,2,0,2,0,0,0,0,21,1,0
C:\Work\Java\Bhavani\jadx\jadx-core\src\main\java\jadx\core\dex\nodes\Edge.java,jadx.core.dex.nodes.Edge,class,2,6,4,2,9,1,0,3,0,0.16666667,0.93333334,1.0,6,0,6,0,0,0,6,0,0,0,2,0,0,2,0,0,2,0,0,30,7,0,3,0,0,2,1,3,3,3,1,0,0,0,20,1,0
C:\Work\Java\Bhavani\jadx\jadx-core\src\main\java\jadx\core\dex\visitors\ProcessAnonymous.java,jadx.core.dex.visitors.ProcessAnonymous,class,14,16,2,14,81,2,0,74,103,0.8666667,0.33333334,0.33333334,15,9,3,12,0,0,3,0,0,0,1,0,0,1,0,0,0,0,21,274,41,12,17,0,0,9,19,36,1,36,3,0,0,3,117,1,0
C:\Work\Java\Bhavani\jadx\jadx-core\src\test\java\jadx\tests\integration\inline\TestInline3.java,jadx.tests.integration.inline.TestInline3$TestCls,innerclass,1,1,0,1,2,2,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,3,0,0,0,0,0,1,0,4,9,0
C:\Work\Java\Bhavani\jadx\jadx-core\src\test\java\jadx\tests\integration\java8\TestLambdaInstance2.java,jadx.tests.integration.java8.TestLambdaInstance2,class,3,3,0,3,1,2,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,2,0,0,0,0,0,0,1,0,11,1,0
C:\Work\Java\Bhavani\jadx\jadx-core\src\test\java\jadx\tests\integration\generics\TestTypeVarsFromSuperClass.java,jadx.tests.integration.generics.TestTypeVarsFromSuperClass$TestCls$C1,innerclass,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
C:\Work\Java\Bhavani\jadx\jadx-core\src\test\java\jadx\tests\integration\inner\TestAnonymousClass3a.java,jadx.tests.integration.inner.TestAnonymousClass3a$TestCls$Inner$Anonymous1,anonymous,1,1,0,1,2,1,0,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,2,0,1,0,0,0,0,3,-1,0
C:\Work\Java\Bhavani\jadx\jadx-gui\src\main\java\jadx\gui\cache\code\disk\adapters\ClassNodeAdapter.java,jadx.gui.cache.code.disk.adapters.ClassNodeAdapter,class,3,4,1,3,3,1,0,5,1,0.33333334,0.33333334,0.33333334,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,1,0,0,12,1,0,0,0,0,0,0,1,0,1,0,0,0,0,15,1,0
C:\Work\Java\Bhavani\jadx\jadx-core\src\test\java\jadx\tests\integration\generics\TestTypeVarsFromSuperClass.java,jadx.tests.integration.generics.TestTypeVarsFromSuperClass$TestCls$C2,innerclass,2,2,0,2,1,2,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0
C:\Work\Java\Bhavani\jadx\jadx-gui\src\main\java\jadx\gui\ui\MainWindow.java,jadx.gui.ui.MainWindow,class,50,136,86,50,189,6,0,355,2288,0.9602436,0.12292359,0.5160576,85,4,41,42,1,1,43,0,0,2,58,23,1,57,0,0,31,0,49,1308,61,6,44,8,10,113,41,195,17,190,4,27,0,19,350,1,9
C:\Work\Java\Bhavani\jadx\jadx-core\src\test\java\jadx\tests\integration\generics\TestTypeVarsFromSuperClass.java,jadx.tests.integration.generics.TestTypeVarsFromSuperClass$TestCls$C3,innerclass,2,2,0,2,0,3,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
C:\Work\Java\Bhavani\jadx\jadx-gui\src\test\java\jadx\gui\update\VersionComparatorTest.java,jadx.gui.update.VersionComparatorTest,class,3,4,1,3,2,1,0,5,1,0.0,NaN,NaN,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20,26,0,0,0,0,0,38,18,0,0,0,0,0,0,0,11,0,0
C:\Work\Java\Bhavani\jadx\jadx-core\src\test\java\jadx\tests\integration\generics\TestTypeVarsFromSuperClass.java,jadx.tests.integration.generics.TestTypeVarsFromSuperClass$TestCls$C4,innerclass,2,2,0,2,1,4,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,7,1,0,0,0,0,0,0,1,0,1,0,0,0,0,5,9,0
C:\Work\Java\Bhavani\jadx\jadx-plugins\jadx-dex-input\src\main\java\jadx\plugins\input\dex\utils\MUtf8.java,jadx.plugins.input.dex.utils.MUtf8,class,3,4,1,3,14,1,0,2,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,37,1,1,6,0,18,3,22,10,3,7,3,0,0,0,28,1,0
C:\Work\Java\Bhavani\jadx\jadx-gui\src\main\java\jadx\gui\cache\code\disk\DiskCodeCache.java,jadx.gui.cache.code.disk.DiskCodeCache,class,12,14,2,12,48,1,0,87,43,0.7991453,0.71428573,1.0,18,0,7,11,0,0,7,0,0,0,13,3,0,13,0,0,13,0,13,234,24,3,8,9,0,30,4,41,6,41,3,0,0,1,120,1,12
C:\Work\Java\Bhavani\jadx\jadx-core\src\main\java\jadx\core\dex\visitors\CheckCode.java,jadx.core.dex.visitors.CheckCode,class,8,9,1,8,18,2,0,18,3,0.0,0.0,0.0,3,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,55,5,3,7,0,0,4,3,5,1,5,3,0,0,0,45,1,0
